Date,Value,Anomaly
189503,35.7,-4.8
189603,31.2,-9.3
189703,39.3,-1.2
189803,44.6,4.1
189903,36.7,-3.8
190003,32.8,-7.7
190103,37.6,-2.9
190203,43.8,3.3
190303,47.5,7.0
190403,34.9,-5.6
190503,38.4,-2.1
190603,33.8,-6.7
190703,40.6,0.1
190803,39.7,-0.8
190903,36.8,-3.7
191003,42.2,1.7
191103,34.6,-5.9
191203,37.0,-3.5
191303,44.3,3.8
191403,35.9,-4.6
191503,36.2,-4.3
191603,31.8,-8.7
191703,38.7,-1.8
191803,41.5,1.0
191903,42.7,2.2
192003,39.8,-0.7
192103,48.3,7.8
192203,40.9,0.4
192303,36.3,-4.2
192403,38.6,-1.9
192503,43.7,3.2
192603,35.2,-5.3
192703,42.5,2.0
192803,38.3,-2.2
192903,44.6,4.1
193003,39.8,-0.7
193103,39.8,-0.7
193203,36.9,-3.6
193303,37.8,-2.7
193403,36.9,-3.6
193503,42.9,2.4
193603,44.7,4.2
193703,36.0,-4.5
193803,43.7,3.2
193903,38.7,-1.8
194003,34.6,-5.9
194103,35.5,-5.0
194203,42.5,2.0
194303,39.7,-0.8
194403,37.1,-3.4
194503,50.6,10.1
194603,49.3,8.8
194703,37.3,-3.2
194803,41.4,0.9
194903,42.2,1.7
195003,35.6,-4.9
195103,40.9,0.4
195203,39.5,-1.0
195303,42.7,2.2
195403,40.9,0.4
195503,41.0,0.5
195603,36.9,-3.6
195703,41.5,1.0
195803,39.8,-0.7
195903,39.6,-0.9
196003,32.9,-7.6
196103,40.7,0.2
196203,42.3,1.8
196303,42.9,2.4
196403,42.4,1.9
196503,39.2,-1.3
196603,41.9,1.4
196703,36.7,-3.8
196803,42.5,2.0
196903,39.3,-1.2
197003,-99.0,-139.5
197103,39.3,-1.2
197203,39.0,-1.5
197303,45.6,5.1
197403,41.3,0.8
197503,39.3,-1.2
197603,43.6,3.1
197703,45.7,5.2
197803,38.1,-2.4
197903,44.9,4.4
198003,39.7,-0.8
198103,40.7,0.2
198203,40.4,-0.1
198303,42.5,2.0
198403,35.2,-5.3
198503,44.2,3.7
198603,43.4,2.9
198703,44.3,3.8
198803,42.8,2.3
198903,41.6,1.1
199003,44.3,3.8
199103,43.8,3.3
199203,39.2,-1.3
199303,38.8,-1.7
199403,39.8,-0.7
199503,44.6,4.1
199603,38.9,-1.6
199703,41.9,1.4
199803,45.4,4.9
199903,42.5,2.0
200003,47.2,6.7
200103,39.6,-0.9
200203,44.1,3.6
200303,43.1,2.6
200403,43.5,3.0
200503,39.5,-1.0
200603,43.1,2.6
200703,42.2,1.7
200803,42.6,2.1
200903,42.4,1.9
201003,48.2,7.7
201103,42.3,1.8
201203,50.9,10.4
201303,40.1,-0.4
201403,37.7,-2.8
201503,38.1,-2.4
201603,48.9,8.4
201703,39.2,-1.3
201803,40.2,-0.3
201903,41.8,1.3
